1R time FTT,1R distance FTT,1R time SD,1R distance SD
5R time FTT,5R distance FTT,5R time SD,5R distance SD
4.566666666666666,5.380025834022575,9.433333333333334,5.0
4.666666666666667,5.504777663667631,8.333333333333334,5.017127950855331
4.833333333333333,5.761410703776183,7.866666666666666,5.150520754739313
5.066666666666666,6.107615192969976,7.666666666666667,5.447517295031126
5.333333333333333,6.522191328678343,7.533333333333333,5.895234409992929
5.633333333333333,6.989623833322654,7.466666666666667,6.465443602167946
6.0,7.4904220142456435,7.433333333333334,7.1298299376214835
6.366666666666666,8.067152660339621,7.3999999999999995,7.864977074109564
6.8,8.715075909301353,7.366666666666666,8.653062146049969
7.3,9.48100023703905,7.366666666666666,9.480993076873602
7R time FTT,7R distance FTT,7R time SD,7R distance SD
5.8,7.25388861792899,9.433333333333334,7.0
5.8,7.2418590551926245,8.333333333333334,7.012244496254663
5.866666666666666,7.352898255648925,7.866666666666666,7.108295438781398
6.033333333333333,7.5591275659504795,7.666666666666667,7.3263527542470435
6.233333333333333,7.859826278165903,7.533333333333333,7.665102005111522
6.466666666666667,8.248126674995484,7.466666666666667,8.111840788182077
6.8,8.70831919248712,7.433333333333334,8.65069216533588
7.166666666666667,9.272236188298471,7.3999999999999995,9.265951887219632
7.633333333333333,9.962397295005818,16.366666666666667,9.943615263243188
8.2,10.831657033250274,16.333333333333332,10.67188969788037
10R time FTT,10R distance FTT,10R time SD,10R distance SD
7.7,10.062085971220617,9.433333333333334,10.0
7.666666666666667,10.0209602433405,8.333333333333334,10.008574967259516
7.7,10.076758798864311,7.866666666666666,10.076103614244964
7.8,10.233915140991568,16.633333333333333,10.231101831164777
7.966666666666667,10.49736462087226,16.53333333333333,10.476344245430496
8.233333333333333,10.880001894231839,16.466666666666665,10.807495592079343
8.566666666666666,11.391863764530891,16.4,11.217596665034964
9.0,12.053475880875377,16.366666666666667,11.698626602138777
9.566666666666666,12.88303517488749,16.366666666666667,12.242364334694622
10.2,13.818986725714373,16.333333333333332,12.840920127612552
100R time FTT,100R distance FTT,100R time SD,100R distance SD
67.66666666666667,100.01998646136228,72.26666666666667,100.0
67.66666666666667,100.02546552201895,71.16666666666667,100.00085786069664
67.66666666666667,100.04094068961024,70.7,100.00763902845122
67.7,100.06571674895028,70.5,100.02337449156404
67.7,100.10093453569935,70.36666666666666,100.04875705749055
67.73333333333333,100.14496403768865,70.3,100.08397454624199
67.76666666666667,100.19848366197847,70.26666666666667,100.1290890547767
67.83333333333333,100.25983942126427,70.23333333333333,100.1841198213383
67.86666666666666,100.33206072035713,70.2,100.2490672500418
67.93333333333334,100.41162124986339,70.2,100.32392152285378
1000R time FTT,1000R distance FTT,1000R time SD,1000R distance SD
667.6333333333333,1000.0015020755169,673.6666666666666,1000.0
667.6333333333333,1000.0028668956634,672.5333333333333,1000.0000857864339
667.6666666666666,1000.0052278509964,672.0666666666666,1000.0007639317307
667.6666666666666,1000.0085807015032,671.8666666666667,1000.0023377196073
667.6666666666666,1000.0129335283351,671.7666666666667,1000.0048768824823
667.6666666666666,1000.0182863184342,671.7,1000.0084009451984
667.6666666666666,1000.0246390557431,671.6666666666666,1000.0129171540433
667.6666666666666,1000.0319917212054,671.6333333333333,1000.0184287623784
667.6666666666666,1000.0403442927653,671.6,1000.024937431314
667.6666666666666,1000.0496967453688,671.5666666666666,1000.0324440885524
1R time FTT,1R distance FTT,1R time SD,1R distance SD
1.8666666666666667,1.3950587389527649,9.433333333333334,1.0
2.6,2.432087036595763,8.333333333333334,1.082392200292394
3.2333333333333334,3.3857880677509216,7.866666666666666,1.5899257985831985
3.8,4.197578706061069,7.666666666666667,2.382319180895633
4.266666666666667,4.924801018372625,7.533333333333333,3.2792969900215927
4.7,5.603492435101299,7.466666666666667,4.219237013112019
5.133333333333333,6.249120564042631,7.433333333333334,5.180200279854396
5.566666666666666,6.8934612984912125,7.3999999999999995,6.152874480782868
6.033333333333333,7.551850197008656,7.366666666666666,7.1327052724336575
6.5,8.288119384038923,7.366666666666666,8.117218102510563
3R time FTT,3R distance FTT,3R time SD,3R distance SD
3.2666666666666666,3.438709420292653,9.433333333333334,3.0
3.533333333333333,3.8452400963207305,8.333333333333334,3.0284604793944085
3.9,4.371593103500467,7.866666666666666,3.2446670160434676
4.266666666666667,4.938764235447765,7.666666666666667,3.6980325417258353
4.666666666666667,5.503866011564821,7.533333333333333,4.3305644838478825
5.033333333333333,6.089650616472504,7.466666666666667,5.079563069085217
5.433333333333334,6.671909384802145,7.433333333333334,5.902073782951511
5.833333333333333,7.287541326779687,7.3999999999999995,6.771843499097498
6.266666666666667,7.943700502696889,7.366666666666666,7.673036198494238
6.766666666666667,8.669628660334807,7.366666666666666,8.595884464307625
5R time FTT,5R distance FTT,5R time SD,5R distance SD
4.566666666666666,5.380025834022575,9.433333333333334,5.0
4.666666666666667,5.504777663667631,8.333333333333334,5.017127950855331
4.833333333333333,5.761410703776183,7.866666666666666,5.150520754739313
5.066666666666666,6.107615192969976,7.666666666666667,5.447517295031126
5.333333333333333,6.522191328678343,7.533333333333333,5.895234409992929
5.633333333333333,6.989623833322654,7.466666666666667,6.465443602167946
6.0,7.4904220142456435,7.433333333333334,7.1298299376214835
6.366666666666666,8.067152660339621,7.3999999999999995,7.864977074109564
6.8,8.715075909301353,7.366666666666666,8.653062146049969
7.3,9.48100023703905,7.366666666666666,9.480993076873602
7R time FTT,7R distance FTT,7R time SD,7R distance SD
5.8,7.25388861792899,9.433333333333334,7.0
5.8,7.2418590551926245,8.333333333333334,7.012244496254663
5.866666666666666,7.352898255648925,7.866666666666666,7.108295438781398
6.033333333333333,7.5591275659504795,7.666666666666667,7.3263527542470435
6.233333333333333,7.859826278165903,7.533333333333333,7.665102005111522
6.466666666666667,8.248126674995484,7.466666666666667,8.111840788182077
6.8,8.70831919248712,7.433333333333334,8.65069216533588
7.166666666666667,9.272236188298471,7.3999999999999995,9.265951887219632
7.633333333333333,9.962397295005818,16.366666666666667,9.943615263243188
8.2,10.831657033250274,16.333333333333332,10.67188969788037
10R time FTT,10R distance FTT,10R time SD,10R distance SD
7.7,10.062085971220617,9.433333333333334,10.0
7.666666666666667,10.0209602433405,8.333333333333334,10.008574967259516
7.7,10.076758798864311,7.866666666666666,10.076103614244964
7.8,10.233915140991568,16.633333333333333,10.231101831164777
7.966666666666667,10.49736462087226,16.53333333333333,10.476344245430496
8.233333333333333,10.880001894231839,16.466666666666665,10.807495592079343
8.566666666666666,11.391863764530891,16.4,11.217596665034964
9.0,12.053475880875377,16.366666666666667,11.698626602138777
9.566666666666666,12.88303517488749,16.366666666666667,12.242364334694622
10.2,13.818986725714373,16.333333333333332,12.840920127612552
100R time FTT,100R distance FTT,100R time SD,100R distance SD
67.66666666666667,100.01998646136228,72.26666666666667,100.0
67.66666666666667,100.02546552201895,71.16666666666667,100.00085786069664
67.66666666666667,100.04094068961024,70.7,100.00763902845122
67.7,100.06571674895028,70.5,100.02337449156404
67.7,100.10093453569935,70.36666666666666,100.04875705749055
67.73333333333333,100.14496403768865,70.3,100.08397454624199
67.76666666666667,100.19848366197847,70.26666666666667,100.1290890547767
67.83333333333333,100.25983942126427,70.23333333333333,100.1841198213383
67.86666666666666,100.33206072035713,70.2,100.2490672500418
67.93333333333334,100.41162124986339,70.2,100.32392152285378
1000R time FTT,1000R distance FTT,1000R time SD,1000R distance SD
667.6333333333333,1000.0015020755169,673.6666666666666,1000.0
667.6333333333333,1000.0028668956634,672.5333333333333,1000.0000857864339
667.6666666666666,1000.0052278509964,672.0666666666666,1000.0007639317307
667.6666666666666,1000.0085807015032,671.8666666666667,1000.0023377196073
667.6666666666666,1000.0129335283351,671.7666666666667,1000.0048768824823
667.6666666666666,1000.0182863184342,671.7,1000.0084009451984
667.6666666666666,1000.0246390557431,671.6666666666666,1000.0129171540433
667.6666666666666,1000.0319917212054,671.6333333333333,1000.0184287623784
667.6666666666666,1000.0403442927653,671.6,1000.024937431314
667.6666666666666,1000.0496967453688,671.5666666666666,1000.0324440885524
